DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,64,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,64,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,64,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,64,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,64,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,128,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,128,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,128,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,128,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,128,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,256,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,256,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,256,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,256,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,256,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,512,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,512,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,512,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,512,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,50,512,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,64,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,64,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,64,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,64,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,64,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,128,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,128,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,128,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,128,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,128,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,256,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,256,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,256,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,256,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,256,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,512,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,512,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,512,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,512,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,100,512,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,64,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,64,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,64,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,64,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,64,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,128,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,128,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,128,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,128,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,128,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,256,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,256,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,256,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,256,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,256,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,512,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,512,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,512,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,512,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,25,200,512,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,64,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,64,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,64,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,64,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,64,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,128,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,128,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,128,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,128,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,128,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,256,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,256,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,256,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,256,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,256,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,512,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,512,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,512,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,512,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,50,512,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,64,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,64,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,64,0.001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,64,0.005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,64,0.01
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,128,0.0001
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,128,0.0005
MNIST,28.493357858164725,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HINGE,2e-05,50,100,128,0.001
