DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
MNIST,0.972307377886777,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,64,0.0001
MNIST,1.0881872062129574,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,64,0.0005
MNIST,1.0401594114040467,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,64,0.001
MNIST,4.533006335581443,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,64,0.005
MNIST,1.9395054159002656,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,64,0.01
MNIST,0.9662783568362967,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,128,0.0001
MNIST,1.3428367054976498,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,128,0.0005
MNIST,1.1594114040465973,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,128,0.001
MNIST,2.4694461475577354,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,128,0.005
MNIST,6.984569793582669,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,128,0.01
MNIST,1.1019824238708358,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,256,0.0001
MNIST,0.9111996730022481,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,256,0.0005
MNIST,1.0825669323523401,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,256,0.001
MNIST,4.256284488044145,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,256,0.005
MNIST,3.6338647046801555,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,256,0.01
MNIST,1.237686490905375,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,512,0.0001
MNIST,0.9531984467606786,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,512,0.0005
MNIST,1.379623952585326,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,512,0.001
MNIST,10.391171060698957,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,512,0.005
MNIST,10.125076640098099,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,50,512,0.01
MNIST,1.1400980993255672,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,64,0.0001
MNIST,1.3124872266503167,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,64,0.0005
MNIST,1.0759247905170652,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,64,0.001
MNIST,3.3442673206621705,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,64,0.005
MNIST,1.4683220927856122,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,64,0.01
MNIST,0.9650521152667075,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,128,0.0001
MNIST,1.123543838136113,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,128,0.0005
MNIST,1.3465154302064173,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,128,0.001
MNIST,1.4659717964438994,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,128,0.005
MNIST,14.050889025137952,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,128,0.01
MNIST,1.471489883507051,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,256,0.0001
MNIST,0.9831391784181484,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,256,0.0005
MNIST,1.388412017167382,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,256,0.001
MNIST,1.7036582873492745,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,256,0.005
MNIST,6.2144900878806455,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,256,0.01
MNIST,1.2673206621704476,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.0001
MNIST,1.2619047619047619,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.0005
MNIST,0.9831391784181484,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.001
MNIST,13.811874105865522,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.005
MNIST,2.851420396484774,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,100,512,0.01
MNIST,1.3341508277130594,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,HUBER,2e-05,25,200,64,0.0001
