DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
MNIST,1.1305947271612509,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,64,0.0001
MNIST,0.9889638258736971,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,64,0.0005
MNIST,1.438483547925608,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,64,0.001
MNIST,2.9020028612303292,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,64,0.005
MNIST,2.6241569589209073,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,64,0.01
MNIST,0.9680155323932148,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,128,0.0001
MNIST,1.209585121602289,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,128,0.0005
MNIST,1.1474555487431024,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,128,0.001
MNIST,2.9726139382791743,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,128,0.005
MNIST,3.3297567954220315,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,128,0.01
MNIST,1.4551399959125282,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,256,0.0001
MNIST,1.0159411404046597,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,256,0.0005
MNIST,1.0882893930104232,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,256,0.001
MNIST,4.2296137339055795,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,256,0.005
MNIST,2.236051502145923,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,256,0.01
MNIST,2.057633353770693,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,512,0.0001
MNIST,1.3556100551808705,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,L1,2e-05,25,50,512,0.0005
