DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
MNIST,9.770386266094421,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,64,0.0001
MNIST,3.5076640098099325,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,64,0.0005
MNIST,5.2296137339055795,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,64,0.001
MNIST,5.441140404659718,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,64,0.005
MNIST,7.076946658491723,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,64,0.01
MNIST,5.778459023094216,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,128,0.0001
MNIST,5.866952789699571,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,128,0.0005
MNIST,4.6253832004904964,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,128,0.001
MNIST,5.295319844676068,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,128,0.005
MNIST,6.328326180257511,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,128,0.01
MNIST,5.539341917024321,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,256,0.0001
MNIST,3.4615777641528713,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,256,0.0005
MNIST,4.393725730635602,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,256,0.001
MNIST,4.772021254853873,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,256,0.005
MNIST,5.581545064377682,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,256,0.01
MNIST,5.405170651951768,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,512,0.0001
MNIST,5.293173921929287,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,512,0.0005
MNIST,4.278152462701819,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,512,0.001
MNIST,5.520437359493154,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,CE,2e-05,25,50,512,0.005
