DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
MNIST,0.9394032291027999,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,64,0.0001
MNIST,1.0538524422644595,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,64,0.0005
MNIST,0.9001634988759453,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,64,0.001
MNIST,2.1852646638054365,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,64,0.005
MNIST,15.299305129777233,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,64,0.01
MNIST,1.1880237073370121,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,128,0.0001
MNIST,1.0545677498467199,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,128,0.0005
MNIST,1.295728591865931,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,128,0.001
MNIST,1.5115471081136318,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,128,0.005
MNIST,16.845391375434293,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,128,0.01
MNIST,1.1917024320457796,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,256,0.0001
MNIST,1.0249335785816474,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,256,0.0005
MNIST,1.6641119967300224,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,256,0.001
MNIST,1.6057633353770693,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,256,0.005
MNIST,5.70570202329859,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,256,0.01
MNIST,1.2617003883098303,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,512,0.0001
MNIST,1.2135704067034538,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,512,0.0005
MNIST,1.1134273451870018,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,512,0.001
MNIST,1.5882893930104232,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,512,0.005
MNIST,11.984978540772532,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,50,512,0.01
MNIST,1.6773962804005722,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,100,64,0.0001
MNIST,1.1447986920089925,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,100,64,0.0005
MNIST,1.1400980993255672,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,100,64,0.001
MNIST,1.7963417126507255,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,100,64,0.005
MNIST,10.984978540772532,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,100,64,0.01
MNIST,1.5342325771510321,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,100,128,0.0001
MNIST,1.0889025137952177,"[1000, 500, 125, 2]","['tanh', 'tanh', 'tanh', 'linear']",linear,MSE,2e-05,25,100,128,0.0005
