DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
USPS,13.678333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,64,0.0001
USPS,12.314,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,64,0.0005
USPS,12.108666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,64,0.001
USPS,11.960666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,64,0.005
USPS,12.128,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,64,0.01
USPS,14.501333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,128,0.0001
USPS,12.147666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,128,0.0005
USPS,11.658,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,128,0.001
USPS,12.455333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,128,0.005
USPS,19.863,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,128,0.01
USPS,15.809333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,256,0.0001
USPS,14.463,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,256,0.0005
USPS,12.258,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,256,0.001
USPS,16.292,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,256,0.005
USPS,12.268,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,256,0.01
USPS,15.400666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,512,0.0001
USPS,12.348333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,512,0.0005
USPS,12.524,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,512,0.001
USPS,13.453666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,512,0.005
USPS,12.406333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,50,512,0.01
USPS,14.900333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,64,0.0001
USPS,11.823,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,64,0.0005
USPS,12.239333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,64,0.001
USPS,11.552,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,64,0.005
USPS,12.505666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,64,0.01
USPS,14.746333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,128,0.0001
USPS,11.625666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,128,0.0005
USPS,12.346,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,128,0.001
USPS,11.789666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,128,0.005
USPS,20.116,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,128,0.01
USPS,16.651333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,256,0.0001
USPS,13.440666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,256,0.0005
USPS,12.558333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,256,0.001
USPS,11.891,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,256,0.005
USPS,11.618,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,256,0.01
USPS,15.175,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,512,0.0001
USPS,16.323,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,512,0.0005
USPS,12.168666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,512,0.001
USPS,12.879666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,512,0.005
USPS,13.295333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,100,512,0.01
USPS,13.135,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,200,64,0.0001
USPS,11.986,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,CE,2e-05,25,200,64,0.0005
