DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
USPS,28.965333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,64,0.0001
USPS,28.707666666666668,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,64,0.0005
USPS,29.411,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,64,0.001
USPS,28.681333333333335,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,64,0.005
USPS,28.39,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,64,0.01
USPS,28.684,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,128,0.0001
USPS,28.425666666666668,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,128,0.0005
USPS,28.95,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,128,0.001
USPS,28.917666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,128,0.005
USPS,28.313333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,128,0.01
USPS,28.764,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,256,0.0001
USPS,28.591333333333335,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,256,0.0005
USPS,28.974333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HINGE,2e-05,25,50,256,0.001
