DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
USPS,0.61,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,64,0.0001
USPS,0.635,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,64,0.0005
USPS,1.1536666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,64,0.001
USPS,2.019,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,64,0.005
USPS,1.1083333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,64,0.01
USPS,0.6266666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,128,0.0001
USPS,0.5796666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,128,0.0005
USPS,0.5823333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,128,0.001
USPS,1.052,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,128,0.005
USPS,1.4916666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,128,0.01
USPS,0.9106666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,256,0.0001
USPS,0.5886666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,256,0.0005
USPS,0.39166666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,256,0.001
USPS,0.989,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,256,0.005
USPS,1.1416666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,256,0.01
USPS,1.2196666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,512,0.0001
USPS,0.841,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,512,0.0005
USPS,0.5486666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,512,0.001
USPS,1.032,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,512,0.005
USPS,3.925666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,50,512,0.01
USPS,0.5166666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,64,0.0001
USPS,0.793,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,64,0.0005
USPS,0.9046666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,64,0.001
USPS,1.627,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,64,0.005
USPS,1.489,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,64,0.01
USPS,0.541,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,128,0.0001
USPS,0.973,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,128,0.0005
USPS,0.4736666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,128,0.001
USPS,1.3956666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,128,0.005
USPS,1.7756666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,128,0.01
USPS,0.5516666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,256,0.0001
USPS,0.499,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,256,0.0005
USPS,0.40166666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,256,0.001
USPS,0.5456666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,256,0.005
USPS,0.9076666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,256,0.01
USPS,0.7126666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,512,0.0001
USPS,0.408,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,512,0.0005
USPS,0.5013333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,512,0.001
USPS,0.8296666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,512,0.005
USPS,1.35,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,100,512,0.01
USPS,0.929,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,64,0.0001
USPS,0.6816666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,64,0.0005
USPS,0.5223333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,64,0.001
USPS,1.0603333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,64,0.005
USPS,1.068,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,64,0.01
USPS,0.5086666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,128,0.0001
USPS,0.6533333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,128,0.0005
USPS,0.7,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,128,0.001
USPS,0.744,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,128,0.005
USPS,0.8436666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,128,0.01
USPS,0.672,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,256,0.0001
USPS,0.745,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,256,0.0005
USPS,0.8386666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,256,0.001
USPS,0.7373333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,256,0.005
USPS,1.597,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,256,0.01
USPS,0.5953333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,512,0.0001
USPS,0.8326666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,512,0.0005
USPS,0.914,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,512,0.001
USPS,0.9143333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,512,0.005
USPS,0.6043333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,25,200,512,0.01
USPS,0.822,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,64,0.0001
USPS,0.5733333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,64,0.0005
USPS,0.7953333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,64,0.001
USPS,1.133,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,64,0.005
USPS,16.152333333333335,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,64,0.01
USPS,0.9286666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,128,0.0001
USPS,0.4246666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,128,0.0005
USPS,0.837,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,128,0.001
USPS,1.237,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,128,0.005
USPS,1.1236666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,128,0.01
USPS,0.6673333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,256,0.0001
USPS,0.356,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,256,0.0005
USPS,0.7843333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,256,0.001
USPS,1.579,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,256,0.005
USPS,0.9766666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,256,0.01
USPS,0.9046666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,512,0.0001
USPS,0.5656666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,512,0.0005
USPS,0.7096666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,512,0.001
USPS,1.0243333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,512,0.005
USPS,1.561,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,50,512,0.01
USPS,0.7383333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,64,0.0001
USPS,0.4836666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,64,0.0005
USPS,0.538,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,64,0.001
USPS,0.9613333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,64,0.005
USPS,1.25,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,64,0.01
USPS,0.6746666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,128,0.0001
USPS,1.4163333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,128,0.0005
USPS,0.45766666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,128,0.001
USPS,0.9553333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,128,0.005
USPS,0.98,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,128,0.01
USPS,0.5126666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,256,0.0001
USPS,0.6076666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,256,0.0005
USPS,0.5043333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,256,0.001
USPS,0.6996666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,256,0.005
USPS,0.9666666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,256,0.01
USPS,1.2343333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,512,0.0001
USPS,0.6563333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,512,0.0005
USPS,0.38133333333333336,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,512,0.001
USPS,0.9356666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,512,0.005
USPS,1.7443333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,100,512,0.01
USPS,0.6743333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,64,0.0001
USPS,0.4876666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,64,0.0005
USPS,0.6943333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,64,0.001
USPS,1.064,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,64,0.005
USPS,1.3586666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,64,0.01
USPS,1.0653333333333332,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,128,0.0001
USPS,0.5076666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,128,0.0005
USPS,0.6386666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,128,0.001
USPS,1.7206666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,128,0.005
USPS,1.0546666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,128,0.01
USPS,0.6906666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,256,0.0001
USPS,0.6526666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,256,0.0005
USPS,0.5523333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,256,0.001
USPS,0.8193333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,256,0.005
USPS,0.9823333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,256,0.01
USPS,0.9306666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,512,0.0001
USPS,0.649,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,512,0.0005
USPS,0.8133333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,512,0.001
USPS,0.5673333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,512,0.005
USPS,0.7643333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,50,200,512,0.01
USPS,0.7046666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,64,0.0001
USPS,0.44666666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,64,0.0005
USPS,0.656,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,64,0.001
USPS,1.0756666666666668,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,64,0.005
USPS,1.6553333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,64,0.01
USPS,0.5006666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,128,0.0001
USPS,0.6316666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,128,0.0005
USPS,0.5703333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,128,0.001
USPS,1.0946666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,128,0.005
USPS,1.8173333333333332,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,128,0.01
USPS,0.8106666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,HUBER,2e-05,100,50,256,0.0001
