DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
USPS,0.604,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,64,0.0001
USPS,0.2693333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,64,0.0005
USPS,0.7576666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,64,0.001
USPS,1.9183333333333332,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,64,0.005
USPS,17.205333333333332,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,64,0.01
USPS,0.5893333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,128,0.0001
USPS,0.742,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,128,0.0005
USPS,0.8236666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,128,0.001
USPS,2.1153333333333335,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,128,0.005
USPS,2.073,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,128,0.01
USPS,1.057,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,256,0.0001
USPS,0.827,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,256,0.0005
USPS,0.5606666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,256,0.001
USPS,1.445,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,256,0.005
USPS,3.9956666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,256,0.01
USPS,0.869,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,512,0.0001
USPS,0.815,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,512,0.0005
USPS,0.8273333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,512,0.001
USPS,0.6723333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,512,0.005
USPS,0.9213333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,50,512,0.01
USPS,0.7276666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,64,0.0001
USPS,0.6436666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,64,0.0005
USPS,0.5386666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,64,0.001
USPS,1.66,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,64,0.005
USPS,10.333333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,64,0.01
USPS,0.7856666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,128,0.0001
USPS,0.49966666666666665,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,128,0.0005
USPS,0.48966666666666664,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,128,0.001
USPS,1.0443333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,128,0.005
USPS,1.328,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,128,0.01
USPS,0.5536666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,256,0.0001
USPS,0.40166666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,256,0.0005
USPS,0.42533333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,256,0.001
USPS,0.854,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,256,0.005
USPS,0.9976666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,256,0.01
USPS,1.018,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,512,0.0001
USPS,0.4693333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,512,0.0005
USPS,0.8033333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,512,0.001
USPS,0.769,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,512,0.005
USPS,4.206,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,100,512,0.01
USPS,0.798,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,64,0.0001
USPS,0.30933333333333335,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,64,0.0005
USPS,0.5953333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,64,0.001
USPS,1.4846666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,64,0.005
USPS,12.690666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,64,0.01
USPS,0.814,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,128,0.0001
USPS,0.43066666666666664,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,128,0.0005
USPS,0.5663333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,128,0.001
USPS,1.4,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,128,0.005
USPS,1.447,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,128,0.01
USPS,0.575,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,256,0.0001
USPS,0.4736666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,256,0.0005
USPS,0.6513333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,256,0.001
USPS,1.162,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,256,0.005
USPS,1.285,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,256,0.01
USPS,0.811,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,512,0.0001
USPS,0.5453333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,512,0.0005
USPS,0.49766666666666665,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,512,0.001
USPS,0.6296666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,512,0.005
USPS,0.7526666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,25,200,512,0.01
USPS,0.8443333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,64,0.0001
USPS,0.4776666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,64,0.0005
USPS,0.7673333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,64,0.001
USPS,2.213,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,64,0.005
USPS,14.051666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,64,0.01
USPS,0.6113333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,128,0.0001
USPS,0.754,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,128,0.0005
USPS,0.44233333333333336,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,128,0.001
USPS,1.1423333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,128,0.005
USPS,1.7033333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,128,0.01
USPS,1.127,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,256,0.0001
USPS,0.6326666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,256,0.0005
USPS,1.4296666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,256,0.001
USPS,0.798,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,256,0.005
USPS,1.6626666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,256,0.01
USPS,0.596,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,512,0.0001
USPS,0.884,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,L1,2e-05,50,50,512,0.0005
