DatasetName,MSE,hL,hActFunc,oActFunc,errorFunc,l2Penalty,num_epochs_pre,num_epochs_post,miniBatch_size,learning_rate
USPS,0.7873333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,64,0.0001
USPS,1.3183333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,64,0.0005
USPS,0.9783333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,64,0.001
USPS,1.716,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,64,0.005
USPS,28.39,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,64,0.01
USPS,0.8033333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,128,0.0001
USPS,0.6316666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,128,0.0005
USPS,0.37766666666666665,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,128,0.001
USPS,1.6216666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,128,0.005
USPS,16.777333333333335,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,128,0.01
USPS,0.5706666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,256,0.0001
USPS,1.4903333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,256,0.0005
USPS,0.6686666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,256,0.001
USPS,1.548,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,256,0.005
USPS,1.627,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,256,0.01
USPS,0.7426666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,512,0.0001
USPS,0.7486666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,512,0.0005
USPS,0.615,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,512,0.001
USPS,0.8446666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,512,0.005
USPS,1.517,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,50,512,0.01
USPS,0.8076666666666666,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,64,0.0001
USPS,0.677,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,64,0.0005
USPS,0.5923333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,64,0.001
USPS,0.6386666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,64,0.005
USPS,14.987,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,64,0.01
USPS,0.6216666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,128,0.0001
USPS,0.6313333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,128,0.0005
USPS,0.482,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,128,0.001
USPS,0.5666666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,128,0.005
USPS,1.4493333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,128,0.01
USPS,0.907,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,256,0.0001
USPS,0.6096666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,256,0.0005
USPS,0.497,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,256,0.001
USPS,11.950333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,256,0.005
USPS,5.211666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,256,0.01
USPS,0.9193333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,512,0.0001
USPS,0.6436666666666667,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,512,0.0005
USPS,0.52,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,512,0.001
USPS,1.2203333333333333,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,512,0.005
USPS,19.714333333333332,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,100,512,0.01
USPS,0.616,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,200,64,0.0001
USPS,0.9393333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,200,64,0.0005
USPS,0.5743333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,200,64,0.001
USPS,1.0843333333333334,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,200,64,0.005
USPS,15.416,"[2000, 1000, 400, 2]","['relu', 'relu', 'relu', 'linear']",linear,MSE,2e-05,25,200,64,0.01
